machine_id,timestamp,kwh,kw_demand,power_factor
CNC_Mill_1,2026-06-01 00:00:00,0.0275,0.11,0.293
CNC_Lathe_1,2026-06-01 00:00:00,0.0238,0.1,0.288
Robotic_Welder_1,2026-06-01 00:00:00,1.6913,6.77,0.577
Pick_Place_1,2026-06-01 00:00:00,0.0262,0.1,0.204
Assembly_Conveyor_1,2026-06-01 00:00:00,0.0199,0.08,0.316
Injection_Molder_2,2026-06-01 00:00:00,3.632,14.53,0.58
Thermoformer_2,2026-06-01 00:00:00,0.0256,0.1,0.274
Packaging_Robot_2,2026-06-01 00:00:00,0.0265,0.11,0.268
Labeling_Machine_2,2026-06-01 00:00:00,0.0223,0.09,0.3
Palletizer_2,2026-06-01 00:00:00,0.0187,0.07,0.355
Solar_PV_System,2026-06-01 00:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 00:15:00,0.0261,0.1,0.344
CNC_Lathe_1,2026-06-01 00:15:00,0.0289,0.12,0.273
Robotic_Welder_1,2026-06-01 00:15:00,1.6087,6.43,0.557
Pick_Place_1,2026-06-01 00:15:00,0.0295,0.12,0.338
Assembly_Conveyor_1,2026-06-01 00:15:00,0.0175,0.07,0.355
Injection_Molder_2,2026-06-01 00:15:00,20.962,83.85,0.882
Thermoformer_2,2026-06-01 00:15:00,0.0198,0.08,0.296
Packaging_Robot_2,2026-06-01 00:15:00,0.0325,0.13,0.317
Labeling_Machine_2,2026-06-01 00:15:00,0.023,0.09,0.297
Palletizer_2,2026-06-01 00:15:00,0.0295,0.12,0.301
Solar_PV_System,2026-06-01 00:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 00:30:00,0.0211,0.08,0.337
CNC_Lathe_1,2026-06-01 00:30:00,0.0275,0.11,0.358
Robotic_Welder_1,2026-06-01 00:30:00,1.9215,7.69,0.559
Pick_Place_1,2026-06-01 00:30:00,0.0237,0.09,0.282
Assembly_Conveyor_1,2026-06-01 00:30:00,0.0117,0.05,0.317
Injection_Molder_2,2026-06-01 00:30:00,19.5993,78.4,0.897
Thermoformer_2,2026-06-01 00:30:00,0.0203,0.08,0.37
Packaging_Robot_2,2026-06-01 00:30:00,0.0196,0.08,0.25
Labeling_Machine_2,2026-06-01 00:30:00,0.0217,0.09,0.3
Palletizer_2,2026-06-01 00:30:00,0.0221,0.09,0.279
Solar_PV_System,2026-06-01 00:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 00:45:00,0.0288,0.12,0.243
CNC_Lathe_1,2026-06-01 00:45:00,0.021,0.08,0.369
Robotic_Welder_1,2026-06-01 00:45:00,1.6399,6.56,0.554
Pick_Place_1,2026-06-01 00:45:00,0.0335,0.13,0.344
Assembly_Conveyor_1,2026-06-01 00:45:00,0.0282,0.11,0.239
Injection_Molder_2,2026-06-01 00:45:00,19.9135,79.65,0.897
Thermoformer_2,2026-06-01 00:45:00,0.0232,0.09,0.328
Packaging_Robot_2,2026-06-01 00:45:00,0.0318,0.13,0.427
Labeling_Machine_2,2026-06-01 00:45:00,0.0178,0.07,0.36
Palletizer_2,2026-06-01 00:45:00,0.0281,0.11,0.361
Solar_PV_System,2026-06-01 00:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 01:00:00,0.0259,0.1,0.239
CNC_Lathe_1,2026-06-01 01:00:00,0.0287,0.11,0.252
Robotic_Welder_1,2026-06-01 01:00:00,1.8462,7.38,0.613
Pick_Place_1,2026-06-01 01:00:00,0.0207,0.08,0.307
Assembly_Conveyor_1,2026-06-01 01:00:00,0.0294,0.12,0.288
Injection_Molder_2,2026-06-01 01:00:00,3.7004,14.8,0.686
Thermoformer_2,2026-06-01 01:00:00,0.0196,0.08,0.324
Packaging_Robot_2,2026-06-01 01:00:00,0.0274,0.11,0.296
Labeling_Machine_2,2026-06-01 01:00:00,0.0228,0.09,0.343
Palletizer_2,2026-06-01 01:00:00,0.0259,0.1,0.319
Solar_PV_System,2026-06-01 01:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 01:15:00,0.0253,0.1,0.243
CNC_Lathe_1,2026-06-01 01:15:00,0.0304,0.12,0.353
Robotic_Welder_1,2026-06-01 01:15:00,1.8144,7.26,0.576
Pick_Place_1,2026-06-01 01:15:00,0.0279,0.11,0.357
Assembly_Conveyor_1,2026-06-01 01:15:00,0.0234,0.09,0.338
Injection_Molder_2,2026-06-01 01:15:00,17.8399,71.36,0.902
Thermoformer_2,2026-06-01 01:15:00,0.0284,0.11,0.219
Packaging_Robot_2,2026-06-01 01:15:00,0.0253,0.1,0.246
Labeling_Machine_2,2026-06-01 01:15:00,0.0213,0.09,0.311
Palletizer_2,2026-06-01 01:15:00,0.0357,0.14,0.332
Solar_PV_System,2026-06-01 01:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 01:30:00,0.0217,0.09,0.343
CNC_Lathe_1,2026-06-01 01:30:00,0.0275,0.11,0.343
Robotic_Welder_1,2026-06-01 01:30:00,1.6906,6.76,0.517
Pick_Place_1,2026-06-01 01:30:00,0.0187,0.07,0.346
Assembly_Conveyor_1,2026-06-01 01:30:00,0.0174,0.07,0.276
Injection_Molder_2,2026-06-01 01:30:00,19.5822,78.33,0.915
Thermoformer_2,2026-06-01 01:30:00,0.0088,0.04,0.249
Packaging_Robot_2,2026-06-01 01:30:00,0.0332,0.13,0.228
Labeling_Machine_2,2026-06-01 01:30:00,0.0322,0.13,0.228
Palletizer_2,2026-06-01 01:30:00,0.0201,0.08,0.323
Solar_PV_System,2026-06-01 01:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 01:45:00,0.0253,0.1,0.281
CNC_Lathe_1,2026-06-01 01:45:00,0.0329,0.13,0.238
Robotic_Welder_1,2026-06-01 01:45:00,1.731,6.92,0.579
Pick_Place_1,2026-06-01 01:45:00,0.024,0.1,0.275
Assembly_Conveyor_1,2026-06-01 01:45:00,0.0268,0.11,0.265
Injection_Molder_2,2026-06-01 01:45:00,20.2741,81.1,0.913
Thermoformer_2,2026-06-01 01:45:00,0.0287,0.11,0.331
Packaging_Robot_2,2026-06-01 01:45:00,0.0314,0.13,0.27
Labeling_Machine_2,2026-06-01 01:45:00,0.0239,0.1,0.355
Palletizer_2,2026-06-01 01:45:00,0.0315,0.13,0.301
Solar_PV_System,2026-06-01 01:45:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 02:00:00,0.0266,0.11,0.293
CNC_Lathe_1,2026-06-01 02:00:00,0.0209,0.08,0.405
Robotic_Welder_1,2026-06-01 02:00:00,1.8948,7.58,0.59
Pick_Place_1,2026-06-01 02:00:00,0.0249,0.1,0.255
Assembly_Conveyor_1,2026-06-01 02:00:00,0.0299,0.12,0.293
Injection_Molder_2,2026-06-01 02:00:00,19.901,79.6,0.927
Thermoformer_2,2026-06-01 02:00:00,0.0308,0.12,0.276
Packaging_Robot_2,2026-06-01 02:00:00,0.0148,0.06,0.379
Labeling_Machine_2,2026-06-01 02:00:00,0.0216,0.09,0.298
Palletizer_2,2026-06-01 02:00:00,0.0275,0.11,0.304
Solar_PV_System,2026-06-01 02:00:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 02:15:00,0.0233,0.09,0.323
CNC_Lathe_1,2026-06-01 02:15:00,0.0274,0.11,0.303
Robotic_Welder_1,2026-06-01 02:15:00,1.696,6.78,0.643
Pick_Place_1,2026-06-01 02:15:00,0.0244,0.1,0.349
Assembly_Conveyor_1,2026-06-01 02:15:00,0.0242,0.1,0.232
Injection_Molder_2,2026-06-01 02:15:00,15.1637,60.65,0.907
Thermoformer_2,2026-06-01 02:15:00,0.0287,0.11,0.374
Packaging_Robot_2,2026-06-01 02:15:00,0.0246,0.1,0.286
Labeling_Machine_2,2026-06-01 02:15:00,0.0267,0.11,0.296
Palletizer_2,2026-06-01 02:15:00,0.0127,0.05,0.255
Solar_PV_System,2026-06-01 02:15:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 02:30:00,0.0263,0.11,0.315
CNC_Lathe_1,2026-06-01 02:30:00,0.0234,0.09,0.22
Robotic_Welder_1,2026-06-01 02:30:00,1.8826,7.53,0.627
Pick_Place_1,2026-06-01 02:30:00,0.0262,0.1,0.402
Assembly_Conveyor_1,2026-06-01 02:30:00,0.0258,0.1,0.358
Injection_Molder_2,2026-06-01 02:30:00,16.8368,67.35,0.895
Thermoformer_2,2026-06-01 02:30:00,0.0228,0.09,0.283
Packaging_Robot_2,2026-06-01 02:30:00,0.0294,0.12,0.293
Labeling_Machine_2,2026-06-01 02:30:00,0.0226,0.09,0.367
Palletizer_2,2026-06-01 02:30:00,0.0249,0.1,0.34
Solar_PV_System,2026-06-01 02:30:00,0.0,0.0,0.99
CNC_Mill_1,2026-06-01 02:45:00,0.025,0.1,0.32
CNC_Lathe_1,2026-06-01 02:45:00,0.0244,0.1,0.296
Robotic_Welder_1,2026-06-01 02:45:00,1.8434,7.37,0.535
Pick_Place_1,2026-06-01 02:45:00,0.0228,0.09,0.276
Assembly_Conveyor_1,2026-06-01 02:45:00,0.0178,0.07,0.29
Injection_Molder_2,2026-06-01 02:45:00,18.5588,74.24,0.901
