machine_id,timestamp,temperature,acoustic_vibration
CNC_Mill_1,2026-06-01 00:00:00,22.32,25.76
CNC_Lathe_1,2026-06-01 00:00:00,22.79,25.38
Robotic_Welder_1,2026-06-01 00:00:00,25.54,57.07
Pick_Place_1,2026-06-01 00:00:00,21.14,24.72
Assembly_Conveyor_1,2026-06-01 00:00:00,21.55,24.29
Injection_Molder_2,2026-06-01 00:00:00,75.12,40.79
Thermoformer_2,2026-06-01 00:00:00,21.7,25.47
Packaging_Robot_2,2026-06-01 00:00:00,21.49,24.92
Labeling_Machine_2,2026-06-01 00:00:00,21.89,25.19
Palletizer_2,2026-06-01 00:00:00,23.39,25.6
CNC_Mill_1,2026-06-01 00:15:00,21.5,24.21
CNC_Lathe_1,2026-06-01 00:15:00,21.33,24.56
Robotic_Welder_1,2026-06-01 00:15:00,26.58,59.78
Pick_Place_1,2026-06-01 00:15:00,21.9,24.69
Assembly_Conveyor_1,2026-06-01 00:15:00,21.91,24.79
Injection_Molder_2,2026-06-01 00:15:00,142.5,82.59
Thermoformer_2,2026-06-01 00:15:00,22.49,25.4
Packaging_Robot_2,2026-06-01 00:15:00,23.69,24.54
Labeling_Machine_2,2026-06-01 00:15:00,21.29,25.52
Palletizer_2,2026-06-01 00:15:00,21.73,24.25
CNC_Mill_1,2026-06-01 00:30:00,21.89,24.79
CNC_Lathe_1,2026-06-01 00:30:00,22.13,25.16
Robotic_Welder_1,2026-06-01 00:30:00,25.69,59.35
Pick_Place_1,2026-06-01 00:30:00,22.64,24.85
Assembly_Conveyor_1,2026-06-01 00:30:00,21.8,24.86
Injection_Molder_2,2026-06-01 00:30:00,140.64,77.96
Thermoformer_2,2026-06-01 00:30:00,21.99,24.16
Packaging_Robot_2,2026-06-01 00:30:00,22.05,24.78
Labeling_Machine_2,2026-06-01 00:30:00,22.24,24.87
Palletizer_2,2026-06-01 00:30:00,22.17,25.0
CNC_Mill_1,2026-06-01 00:45:00,21.61,25.39
CNC_Lathe_1,2026-06-01 00:45:00,22.7,25.7
Robotic_Welder_1,2026-06-01 00:45:00,25.51,59.85
Pick_Place_1,2026-06-01 00:45:00,22.0,24.82
Assembly_Conveyor_1,2026-06-01 00:45:00,22.27,24.54
Injection_Molder_2,2026-06-01 00:45:00,138.84,80.23
Thermoformer_2,2026-06-01 00:45:00,22.52,25.26
Packaging_Robot_2,2026-06-01 00:45:00,21.84,24.9
Labeling_Machine_2,2026-06-01 00:45:00,22.65,24.57
Palletizer_2,2026-06-01 00:45:00,22.11,25.42
CNC_Mill_1,2026-06-01 01:00:00,22.52,25.66
CNC_Lathe_1,2026-06-01 01:00:00,21.62,24.43
Robotic_Welder_1,2026-06-01 01:00:00,26.42,59.88
Pick_Place_1,2026-06-01 01:00:00,21.32,24.61
Assembly_Conveyor_1,2026-06-01 01:00:00,22.6,25.27
Injection_Molder_2,2026-06-01 01:00:00,71.25,38.29
Thermoformer_2,2026-06-01 01:00:00,21.89,25.36
Packaging_Robot_2,2026-06-01 01:00:00,21.58,24.24
Labeling_Machine_2,2026-06-01 01:00:00,22.11,24.38
Palletizer_2,2026-06-01 01:00:00,21.56,25.08
CNC_Mill_1,2026-06-01 01:15:00,22.18,25.28
CNC_Lathe_1,2026-06-01 01:15:00,21.31,24.53
Robotic_Welder_1,2026-06-01 01:15:00,26.52,65.71
Pick_Place_1,2026-06-01 01:15:00,22.48,25.33
Assembly_Conveyor_1,2026-06-01 01:15:00,21.61,24.88
Injection_Molder_2,2026-06-01 01:15:00,146.94,78.27
Thermoformer_2,2026-06-01 01:15:00,21.76,25.54
Packaging_Robot_2,2026-06-01 01:15:00,21.64,25.34
Labeling_Machine_2,2026-06-01 01:15:00,22.02,24.67
Palletizer_2,2026-06-01 01:15:00,20.99,25.09
CNC_Mill_1,2026-06-01 01:30:00,21.6,24.94
CNC_Lathe_1,2026-06-01 01:30:00,21.4,24.83
Robotic_Welder_1,2026-06-01 01:30:00,27.77,58.81
Pick_Place_1,2026-06-01 01:30:00,23.06,25.52
Assembly_Conveyor_1,2026-06-01 01:30:00,22.63,24.65
Injection_Molder_2,2026-06-01 01:30:00,137.22,81.88
Thermoformer_2,2026-06-01 01:30:00,21.87,24.38
Packaging_Robot_2,2026-06-01 01:30:00,21.78,25.07
Labeling_Machine_2,2026-06-01 01:30:00,22.58,25.01
Palletizer_2,2026-06-01 01:30:00,22.1,24.7
CNC_Mill_1,2026-06-01 01:45:00,22.06,25.33
CNC_Lathe_1,2026-06-01 01:45:00,23.07,24.02
Robotic_Welder_1,2026-06-01 01:45:00,26.28,56.75
Pick_Place_1,2026-06-01 01:45:00,21.71,25.42
Assembly_Conveyor_1,2026-06-01 01:45:00,22.45,25.15
Injection_Molder_2,2026-06-01 01:45:00,137.51,80.88
Thermoformer_2,2026-06-01 01:45:00,21.99,25.06
Packaging_Robot_2,2026-06-01 01:45:00,22.27,24.9
Labeling_Machine_2,2026-06-01 01:45:00,22.41,25.41
Palletizer_2,2026-06-01 01:45:00,22.34,24.84
CNC_Mill_1,2026-06-01 02:00:00,22.05,25.3
CNC_Lathe_1,2026-06-01 02:00:00,21.5,24.39
Robotic_Welder_1,2026-06-01 02:00:00,26.62,59.26
Pick_Place_1,2026-06-01 02:00:00,22.04,24.66
Assembly_Conveyor_1,2026-06-01 02:00:00,21.59,24.84
Injection_Molder_2,2026-06-01 02:00:00,138.7,82.41
Thermoformer_2,2026-06-01 02:00:00,21.67,25.68
Packaging_Robot_2,2026-06-01 02:00:00,21.85,25.0
Labeling_Machine_2,2026-06-01 02:00:00,22.64,25.39
Palletizer_2,2026-06-01 02:00:00,21.28,24.58
CNC_Mill_1,2026-06-01 02:15:00,22.03,25.49
CNC_Lathe_1,2026-06-01 02:15:00,23.14,25.2
Robotic_Welder_1,2026-06-01 02:15:00,27.2,61.63
Pick_Place_1,2026-06-01 02:15:00,21.27,25.39
Assembly_Conveyor_1,2026-06-01 02:15:00,22.52,24.09
Injection_Molder_2,2026-06-01 02:15:00,141.71,83.94
Thermoformer_2,2026-06-01 02:15:00,22.35,24.93
Packaging_Robot_2,2026-06-01 02:15:00,22.15,24.45
Labeling_Machine_2,2026-06-01 02:15:00,22.14,25.14
Palletizer_2,2026-06-01 02:15:00,21.95,24.97
CNC_Mill_1,2026-06-01 02:30:00,22.76,25.16
CNC_Lathe_1,2026-06-01 02:30:00,21.32,25.27
Robotic_Welder_1,2026-06-01 02:30:00,25.17,57.39
Pick_Place_1,2026-06-01 02:30:00,22.06,25.78
Assembly_Conveyor_1,2026-06-01 02:30:00,22.51,25.08
Injection_Molder_2,2026-06-01 02:30:00,144.47,83.76
Thermoformer_2,2026-06-01 02:30:00,21.13,25.72
Packaging_Robot_2,2026-06-01 02:30:00,22.1,23.91
Labeling_Machine_2,2026-06-01 02:30:00,22.49,25.17
Palletizer_2,2026-06-01 02:30:00,21.86,24.17
CNC_Mill_1,2026-06-01 02:45:00,22.56,24.28
CNC_Lathe_1,2026-06-01 02:45:00,21.45,25.24
Robotic_Welder_1,2026-06-01 02:45:00,28.06,57.36
Pick_Place_1,2026-06-01 02:45:00,21.59,24.72
Assembly_Conveyor_1,2026-06-01 02:45:00,22.03,23.86
Injection_Molder_2,2026-06-01 02:45:00,141.54,84.41
Thermoformer_2,2026-06-01 02:45:00,21.63,25.29
Packaging_Robot_2,2026-06-01 02:45:00,23.19,24.84
Labeling_Machine_2,2026-06-01 02:45:00,22.43,24.51
